SYMBOL,SYMBOL P/E,ADJUSTED P/E
BIRLAMONEY,15.93,15.18
RPOWER,42.34,42.34
JKIL,9.46,9.24
CORDSCABLE,12.64,12.64
KNRCON,10.51,10.13
ONMOBILE,29.30,29.18
SEPC,28.04,27.66
BANG,9.83,9.82
IRB,34.20,32.36
NMDC,11.12,11.12
NAHARCAP,16.57,16.57
RECLTD,5.39,5.38
VGUARD,48.84,46.38
NESCO,19.83,19.83
DPSCLTD,131.37,131.37
TITAGARH,44.16,44.16
KIRIINDUS,0.53,
BAJAJFINSV,15.23,15.03
BAJAJ-AUTO,27.98,27.82
DIGISPICE,63.01,16.80
GOKUL,20.24,20.24
RPGLIFE,15.66,30.29
ALMONDZ,18.33,18.33
ARCHIDPLY,34.37,29.53
LOTUSEYE,346.29,352.62
VINYLINDIA,25.54,25.54
UBL,95.01,92.49
LPDC,543.70,543.70
ZFCVINDIA,53.41,52.79
20MICRONS,9.18,9.12
JOCIL,16.99,16.99
ALKALI,74.94,79.07
COUNCODOS,81.36,81.36
TPHQ,9.84,9.84
MAWANASUG,10.69,7.64
AJMERA,19.69,19.69
MHRIL,55.27,59.25
GKWLIMITED,130.35,130.35
VINATIORGA,28.82,28.82
ADANIPOWER,31.31,31.31
NHPC,22.55,22.55
GLOBUSSPR,34.35,34.35
OIL,12.17,12.17
EXPLEOSOL,11.27,10.23
RTNPOWER,37.88,37.88
AMRUTANJAN,27.10,26.67
SUNTECK,25.71,25.71
ZYDUSWELL,78.30,63.49
DEN,8.40,8.40
SHILPAMED,54.39,49.03
SARDAEN,20.22,20.41
REFEX,18.80,18.80
GILLANDERS,12.48,12.45
AHLUCONT,20.45,20.46
DLINKINDIA,14.64,14.64
JSWENERGY,35.84,34.76
GODREJPROP,31.36,30.05
DBCORP,11.49,11.49
HINDCOPPER,79.62,79.62
BEARDSELL,11.94,11.94
MMTC,50.25,
NESTLEIND,73.07,76.24
TRF,49.30,16.85
WHIRLPOOL,32.09,30.74
UNITEDTEA,12.72,12.72
JUBLFOOD,92.87,89.57
VASCONEQ,11.50,11.50
THANGAMAYL,54.98,54.60
EMMBI,24.36,21.74
DBREALTY,63.79,77.96
HATHWAY,22.73,22.62
TEXMOPIPES,7.74,7.74
MANINFRA,15.67,15.67
LGBBROSLTD,16.60,17.17
PERSISTENT,50.00,48.14
ASIANHOTNR,31.40,
ISFT,10.36,10.36
KIRLOSBROS,37.13,35.59
KSL,11.31,11.10
SJVN,46.59,46.59
SUNDARAM,59.56,91.84
KIRLOSIND,9.65,9.68
MANAPPURAM,59.13,59.13
UMESLTD,72.20,72.20
TI,93.89,37.62
HMVL,7.75,6.24
IMFA,20.72,20.72
BLISSGVS,23.81,23.48
AHLWEST,4.22,3.66
AHLEAST,,26.02
IITL,48.85,48.85
BAJAJCON,36.61,36.76
UGARSUGAR,23.61,23.61
PRAKASHSTL,80.89,80.89
GPPL,16.07,17.12
ADFFOODS,26.43,24.94
WELINV,149.35,149.35
WAAREEINDO,7.95,7.95
KILITCH,18.23,18.23
DEEPAKNTR,38.94,38.29
SASTASUNDR,29.78,29.21
CPCAP,4.23,4.23
GREENPOWER,16.69,19.68
RAMKY,15.55,15.55
CANTABIL,22.70,22.70
WABAG,25.13,25.04
ASHOKA,1.32,7.13
JWL,46.44,45.06
OBEROIRLTY,28.07,27.85
PRESTIGE,55.03,55.03
SHAH,43.62,43.62
CGCL,21.16,21.16
RESPONIND,22.78,22.71
COALINDIA,9.28,9.28
IOLCP,21.33,19.83
GRAVITA,31.29,31.29
JINDWORLD,41.03,41.67
PENIND,17.33,17.33
RPPINFRA,10.30,10.22
JAMNAAUTO,25.51,24.50
SUMEETINDS,16.73,50.91
MOIL,21.64,21.64
ZEELEARN,16.06,8.15
A2ZINFRA,,34.74
KIRLOSENG,43.88,43.86
RKDL,450.29,450.29
PSB,14.55,14.55
SURANASOL,1762.49,1762.49
SHEKHAWATI,11.05,11.05
BFINVEST,619.84,617.38
KICL,47.47,44.79
SUMMITSEC,14.96,14.96
STEL,29.83,29.83
TEXRAIL,27.54,27.08
HFCL,218.00,218.69
LOVABLE,14.91,14.89
PFS,5.88,5.85
MUTHOOTFIN,16.69,16.69
VADILALIND,27.05,27.05
SYMPHONY,32.03,33.14
PIIND,31.95,33.98
RELAXO,45.25,45.25
OMINFRAL,31.59,31.59
VSTTILLERS,36.41,36.29
DELPHIFX,38.67,33.42
KARMAENG,22.04,30.90
ASHIANA,28.09,28.09
DHANUKA,17.21,17.21
MAITHANALL,6.30,6.30
RUSHIL,49.60,62.54
INVENTURE,14.70,14.33
LTF,25.05,24.88
IBULLSLTD,33.02,33.02
BODALCHEM,28.11,28.08
GAYAPROJ,0.15,1.53
ASAHISONG,19.50,19.50
FILATEX,10.67,10.67
BROOKS,32.52,32.52
TDPOWERSYS,67.00,67.00
APLLTD,23.02,21.80
VASWANI,227.82,53.20
PGEL,55.65,55.65
PANAMAPET,8.77,8.77
PAISALO,18.73,18.74
SHAKTIPUMP,19.85,19.85
TRITURBINE,43.76,42.41
INDOTHAI,97.88,97.88
ESSARSHPNG,23.72,41.46
DSSL,15.88,15.88
JISLDVREQS,5.58,0.97
POLYMED,43.73,43.11
RUPA,16.87,16.35
VIKASECO,45.86,45.86
APLAPOLLO,49.64,49.64
KANANIIND,19.17,19.17
MINDACORP,54.40,53.81
THOMASCOTT,19.33,19.12
DBSTOCKBRO,21.91,21.91
IRFC,18.97,18.97
COMPUSOFT,41.55,34.06
RHIM,47.66,47.66
SCHNEIDER,97.18,91.06
NDL,10.90,10.90
NBCC,36.57,35.90
TBZ,6.90,6.90
VSSL,22.70,22.70
SPECIALITY,24.95,21.87
CINELINE,,13.29
SAMPANN,14.05,24.69
THEJO,39.68,38.23
KITEX,121.18,401.63
MAYURUNIQ,14.33,14.33
ROSSELLIND,10.93,10.80
DUCON,9.18,9.18
TVSHLTD,9.16,9.07
ZUARI,1.23,
VETO,8.67,8.67
CARERATING,28.43,28.43
PCJEWELLER,11.48,11.47
INDUSTOWER,15.55,15.55
VMART,37.15,47.45
REPCOHOME,5.56,5.56
NIBL,4.41,
JUSTDIAL,9.31,8.97
ATULAUTO,42.51,41.09
ORIENTCEM,9.12,9.03
SAMMAANCAP,10.12,10.12
ESSENTIA,51.96,51.96
PILITA,37.51,37.51
MITCON,21.64,21.64
ORBTEXP,12.00,12.00
JPOLYINVST,1.37,1.37
SREEL,17.47,17.43
NATHBIOGEN,7.35,8.47
CASTROLIND,18.74,18.43
SDBL,19.02,19.02
